artist_id,artist_name,country,debut_year
1,Aditya Mehta,Japan,1996.0
2,Liam Smith,UK,2009.0
3,Sara Mehta,Nigeria,2000.0
4,Ava Patel,USA,1996.0
5,Daniel Smith,Nigeria,
6,Aarav King,Japan,2007.0
7,Aditya King,Canada,2021.0
8,Lucas Wright,India,2012.0
9,Ishaan Joshi,South Korea,
10,Liam Verma,South Korea,2008.0
11,Ananya Khan,,2019.0
12,Sophia Davis,India,2011.0
13,Sara Walker,Brazil,2002.0
14,Riya King,Spain,2013.0
15,Nora Davis,Japan,2007.0
16,Riya Patel,Australia,2009.0
17,Riya Smith,Brazil,2001.0
18,Liam Walker,UK,2018.0
19,Daniel Wilson,Nigeria,1999.0
20,Aditya Joshi,UK,2010.0
21,Lucas Clark,Spain,2012.0
22,Vihaan King,Spain,2009.0
23,Noah Patel,India,2009.0
24,Zoya Martin,Australia,2020.0
25,Riya Brown,Canada,2015.0
26,Aditya Hall,Spain,
27,Lucas Verma,UK,2011.0
28,Olivia King,Japan,2011.0
29,Ryan Lewis,South Korea,2020.0
30,Olivia Verma,France,
31,Chloe Mehta,Spain,2004.0
32,Maya Lewis,Brazil,1999.0
33,Ethan Scott,Germany,2024.0
34,Liam King,Spain,1995.0
35,Meera King,Spain,2012.0
36,Noah Mehta,Brazil,2013.0
37,Maya Walker,Japan,1995.0
38,Mason Wilson,UK,
39,Leo Mehta,Spain,2014.0
40,Leo Scott,UK,2007.0
41,Sophia Joshi,Nigeria,1995.0
42,Noah Hall,USA,1996.0
43,Ella Davis,,2014.0
44,Arjun Smith,USA,2000.0
45,Sara Hall,Germany,1999.0
46,Ishaan Verma,Spain,2003.0
47,Mia King,Australia,2005.0
48,Ava Brown,Japan,2007.0
49,Emma Clark,France,
50,Mason Young,USA,2023.0
51,Olivia Smith,South Korea,1999.0
52,Aarav Wright,Nigeria,
53,Olivia Sharma,Japan,1999.0
54,Aditya Patel,USA,2009.0
55,Mason Patel,USA,2016.0
56,Leo Smith,Spain,2012.0
57,Mia Brown,Japan,2003.0
58,Ella Wright,Canada,2025.0
59,Zoya Hall,Canada,2021.0
60,Ananya Mehta,South Korea,2022.0
61,Ava Lewis,Japan,2024.0
62,Arjun Mehta,Brazil,1998.0
63,Sara Martin,Canada,2001.0
64,Daniel Brown,UK,2023.0
65,Ava Joshi,France,2012.0
66,Olivia Khan,Germany,2023.0
67,Ananya Patel,USA,1995.0
68,Ella Smith,Brazil,2005.0
69,Mia Hall,Brazil,2008.0
70,Maya Clark,Brazil,1995.0
71,Emma Lewis,UK,
72,Daniel Taylor,India,2008.0
73,Ryan King,,1998.0
74,Arjun Wright,Germany,2025.0
75,Ella Young,India,2005.0
76,Leo Khan,USA,2006.0
77,Nora Khan,Brazil,2010.0
78,Ananya Wright,Nigeria,2010.0
79,Nora Patel,Brazil,2000.0
80,Meera Wright,Australia,2015.0
81,Daniel Martin,Australia,2010.0
82,Ethan Verma,France,2014.0
83,Noah Khan,France,1995.0
84,Nora Wright,USA,2001.0
85,Isabella Brown,Australia,
86,Kabir Davis,Canada,
87,Sophia Taylor,France,2005.0
88,Aiden King,Nigeria,2014.0
89,Zoya Young,Spain,
90,Emma Mehta,Australia,2003.0
91,Sara King,Australia,2004.0
92,Emma Scott,Japan,2008.0
93,Noah Brown,Germany,2011.0
94,Mia Wilson,USA,1998.0
95,Aditya Lewis,India,2012.0
96,Aarav Martin,Spain,2003.0
97,Liam Joshi,Germany,2023.0
98,Vihaan Lewis,USA,1995.0
99,Riya Verma,,1997.0
100,Kabir Lewis,India,2003.0
101,Emma Davis,,1997.0
102,Meera Mehta,Germany,2017.0
103,Mason Lewis,Canada,2004.0
104,Chloe Joshi,Brazil,2006.0
105,Aarav Joshi,Brazil,2016.0
106,Zoya Smith,UK,2012.0
107,Zoya Mehta,India,2019.0
108,Chloe Hall,Canada,2009.0
109,Aiden Walker,Australia,2017.0
110,Aiden Smith,India,2009.0
111,Meera Brown,South Korea,2020.0
112,Liam Khan,South Korea,2012.0
113,Aditya Young,Spain,2020.0
114,Noah Sharma,Australia,2002.0
115,Maya Wright,India,2011.0
116,Ananya Scott,South Korea,2022.0
117,Ava Scott,USA,
118,Ethan Wright,Australia,
119,Arjun Lewis,Germany,1995.0
120,Ella King,South Korea,2007.0
