playlist_id,playlist_name,playlist_type,created_date
1,Workout Mix,,2025-05-14
2,Chill Collection,,2025-10-25
3,Energy Hits,Private,2021-07-10
4,Weekend Playlist,Public,2026-05-27
5,Study Vibes,,2024-12-15
6,Focus Mix,Public,2021-05-10
7,Travel,,2020-11-22
8,Energy Vibes,,2021-08-23
9,Travel Hits,Public,2020-05-16
10,Workout Collection,Collaborative,2024-08-19
11,Late Night Vibes,,2025-02-12
12,Weekend,Public,2026-05-06
13,Study Mix,Private,2022-08-23
14,Chill Vibes,Private,2020-05-12
15,Late Night,Collaborative,2020-05-10
16,Weekend,Public,2024-04-25
17,Travel Hits,Public,2024-03-18
18,Road Trip Vibes,Collaborative,2022-11-23
19,Favorites Vibes,Public,2024-10-12
20,Relaxing Hits,Public,2021-09-10
21,Road Trip Playlist,,2022-03-04
22,Focus Hits,Private,2026-04-26
23,Energy Collection,Public,2023-08-03
24,Workout Hits,Public,2023-06-10
25,Favorites Vibes,Private,2026-08-20
26,Weekend Vibes,Private,2025-05-01
27,Favorites Mix,Private,2021-12-05
28,Favorites Hits,Collaborative,2021-04-05
29,Workout Playlist,Public,2020-01-25
30,Discover Playlist,Public,2021-02-02
31,Fresh,Public,2023-02-09
32,Morning Mix,Collaborative,2025-01-25
33,Workout Mix,Private,2024-04-06
34,Travel Vibes,Public,2020-03-28
35,Favorites Vibes,Collaborative,2022-03-28
36,Weekend,Private,2024-10-03
37,Workout Collection,Public,2024-04-23
38,Focus Vibes,Private,2026-09-01
39,Favorites Mix,Private,2024-12-16
40,Road Trip,Private,2023-11-04
41,Chill Vibes,,2023-04-17
42,Focus Playlist,Public,2026-06-04
43,Discover Mix,Private,2023-06-23
44,Party Collection,Public,2020-06-16
45,Workout Playlist,Collaborative,2023-10-24
46,Party,,2021-09-14
47,Party Playlist,Private,2026-02-27
48,Fresh Playlist,Collaborative,2021-01-22
49,Discover,Public,2023-08-17
50,Travel,Public,2020-03-13
51,Late Night,Public,2025-03-03
52,Road Trip Hits,Collaborative,2021-10-28
53,Late Night Mix,Private,2026-07-24
54,Discover Vibes,Collaborative,2026-11-13
55,Road Trip Playlist,,2023-09-09
56,Chill Playlist,Public,2020-05-16
57,Discover Hits,Private,2020-02-24
58,Morning Mix,,2025-01-06
59,Late Night Collection,Collaborative,2021-05-20
60,Study Mix,Public,2025-09-25
61,Discover Playlist,Private,2022-11-16
62,Discover Collection,Collaborative,2024-06-26
63,Relaxing Collection,Public,2026-01-14
64,Energy Mix,,2023-06-28
65,Late Night Playlist,,2020-01-06
66,Weekend,Collaborative,2025-03-16
67,Late Night Hits,Collaborative,2025-07-16
68,Fresh Mix,,2025-09-22
69,Weekend Collection,,2023-09-28
70,Chill Collection,Public,2023-05-16
71,Study Playlist,Collaborative,2026-05-11
72,Morning Mix,Public,2021-06-12
73,Fresh,Public,2026-11-11
74,Late Night Mix,,2022-06-14
75,Road Trip Mix,Private,2021-04-21
76,Party Collection,Public,2025-02-28
77,Party Mix,Collaborative,2021-01-18
78,Road Trip Mix,,2025-07-19
